"filename", "language", "Dart", "Markdown", "YAML", "JSON", "C++", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Modather\FlutterProjects\money_manager\README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\Modather\FlutterProjects\money_manager\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Modather\FlutterProjects\money_manager\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 55, 7, 14, 76
"c:\Users\Modather\FlutterProjects\money_manager\android\app\google-services.json", "JSON", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 84
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\Modather\FlutterProjects\money_manager\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\Modather\FlutterProjects\money_manager\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"c:\Users\Modather\FlutterProjects\money_manager\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Modather\FlutterProjects\money_manager\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Modather\FlutterProjects\money_manager\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\Modather\FlutterProjects\money_manager\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Modather\FlutterProjects\money_manager\lib\bloc\bloc.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Modather\FlutterProjects\money_manager\lib\bloc\money_updates_bloc.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 47
"c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\auth_enums.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\fire_auth.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 60
"c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\fire_database.dart", "Dart", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 207
"c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\firebase.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Modather\FlutterProjects\money_manager\lib\main.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Modather\FlutterProjects\money_manager\lib\models\json\category.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Modather\FlutterProjects\money_manager\lib\models\json\money_updates.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 24
"c:\Users\Modather\FlutterProjects\money_manager\lib\models\models.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Modather\FlutterProjects\money_manager\lib\models\money_usage.dart", "Dart", 140, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 162
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\balance_screen.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 118
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\categories_screen.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\money_usage_screen.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 74
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\screens.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\sign_in_screen.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 45
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\update_usage_screen.dart", "Dart", 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 266
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\balance_text_field.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\beauty_text_field.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\category_widget.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\chart_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 12, 239
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\edit_category_sheet.dart", "Dart", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 88
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\loading_view.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\money_text_form_field.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 39
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\tracker_chart.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 10, 87
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\transaction_widget.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\widgets.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Modather\FlutterProjects\money_manager\lib\service\authentication.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 58
"c:\Users\Modather\FlutterProjects\money_manager\lib\service\cloud_firestore.dart", "Dart", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 100
"c:\Users\Modather\FlutterProjects\money_manager\lib\service\service.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Modather\FlutterProjects\money_manager\lib\tools\date_formatter.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\Modather\FlutterProjects\money_manager\lib\tools\logger_utils.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Modather\FlutterProjects\money_manager\lib\tools\tools.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Modather\FlutterProjects\money_manager\pubspec.yaml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 21, 15, 71
"c:\Users\Modather\FlutterProjects\money_manager\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 30
"Total", "-", 1528, 16, 38, 253, 1, 19, 126, 8, 99, 442, 294, 2824